id,parent,Color,size,sd
FCX,Copper,#FBCDE4,11.66666667,1.161835234
Metal & Glass Containers,Materials,#FBCDE4,77.33333333,1.414213562
BLL,Metal & Glass Containers,#FBCDE4,77.33333333,1.414562127
Construction Materials,Materials,#FBCDE4,328.6666667,18.65475811
VMC,Construction Materials,#FBCDE4,122.3333333,8.100415107
MLM,Construction Materials,#FBCDE4,206.3333333,16.83654282
Diversified Chemicals,Materials,#FBCDE4,194.5,1.732050808
DOW,Diversified Chemicals,#FBCDE4,53.16666667,0.543850063
EMN,Diversified Chemicals,#FBCDE4,72.33333333,1.636701618
DD,Diversified Chemicals,#FBCDE4,69,1.014124256
Fertilizers & Agricultural Chemicals,Materials,#FBCDE4,200.5,2.449489743
MON,Fertilizers & Agricultural Chemicals,#FBCDE4,98.16666667,0.802223395
FMC,Fertilizers & Agricultural Chemicals,#FBCDE4,52.66666667,1.221567486
CF,Fertilizers & Agricultural Chemicals,#FBCDE4,24.16666667,1.756057304
MOS,Fertilizers & Agricultural Chemicals,#FBCDE4,25.5,1.443537277
Steel,Materials,#FBCDE4,52.5,3.872983346
NUE,Steel,#FBCDE4,52.5,3.943151794
Consumer Staples,SP500,#B3DE69,2745.5,36.66060556
Soft Drinks,Consumer Staples,#B3DE69,353.1666667,35.07135583
KO,Soft Drinks,#B3DE69,41.5,0.821533172
MNST,Soft Drinks,#B3DE69,120,34.99531747
PEP,Soft Drinks,#B3DE69,105.8333333,1.775668833
DPS,Soft Drinks,#B3DE69,85.83333333,1.768624106
Household Products,Consumer Staples,#B3DE69,340.6666667,2.236067977
CHD,Household Products,#B3DE69,44,1.030938448
CL,Household Products,#B3DE69,69.5,1.451803728
KMB,Household Products,#B3DE69,113.3333333,1.392952267
CLX,Household Products,#B3DE69,113.8333333,1.116375966
Drug Retail,Consumer Staples,#B3DE69,159,3.464101615
WBA,Drug Retail,#B3DE69,80.33333333,0.735980063
CVS,Drug Retail,#B3DE69,78.66666667,3.576761356
Hypermarkets & Super Centers,Consumer Staples,#B3DE69,214.1666667,1.732050808
WMT,Hypermarkets & Super Centers,#B3DE69,69.66666667,0.94078162
COST,Hypermarkets & Super Centers,#B3DE69,144.5,1.762755095
Distillers & Vintners,Consumer Staples,#B3DE69,159.1666667,5.291502622
STZ,Distillers & Vintners,#B3DE69,159.1666667,5.299874943
Agricultural Products,Consumer Staples,#B3DE69,46.33333333,0
ADM,Agricultural Products,#B3DE69,46.33333333,0.941305161
Brewers,Consumer Staples,#B3DE69,102.8333333,2
TAP,Brewers,#B3DE69,102.8333333,2.006152478
Packaged Foods & Meats,Consumer Staples,#B3DE69,861.5,6.557438524
GIS,Packaged Foods & Meats,#B3DE69,61.33333333,1.187134778
TSN,Packaged Foods & Meats,#B3DE69,68.33333333,1.569682251
CAG,Packaged Foods & Meats,#B3DE69,45,5.036891076
MJN,Packaged Foods & Meats,#B3DE69,72.5,1.307100958
K,Packaged Foods & Meats,#B3DE69,73.66666667,1.585915874
CPB,Packaged Foods & Meats,#B3DE69,53.16666667,1.302175385
KHC,Packaged Foods & Meats,#B3DE69,84.83333333,2.160689664
SJM,Packaged Foods & Meats,#B3DE69,130,1.691293136
MKC,Packaged Foods & Meats,#B3DE69,93.5,1.437590173
MDLZ,Packaged Foods & Meats,#B3DE69,43.33333333,1.349682629
HRL,Packaged Foods & Meats,#B3DE69,36,0.986331462
HSY,Packaged Foods & Meats,#B3DE69,99.83333333,1.453139082
Tobacco,Consumer Staples,#B3DE69,212.8333333,2.828427125
MO,Tobacco,#B3DE69,64,1.383701009
PM,Tobacco,#B3DE69,94.83333333,2.476131292
RAI,Tobacco,#B3DE69,54,1.003054121
Food Distributors,Consumer Staples,#B3DE69,51.33333333,2.645751311
SYY,Food Distributors,#B3DE69,51.33333333,2.730236041
Food Retail,Consumer Staples,#B3DE69,59.5,0
WFM,Food Retail,#B3DE69,28.5,0.858389983
KR,Food Retail,#B3DE69,31,0.934112666
Personal Products,Consumer Staples,#B3DE69,185,2
PG,Personal Products,#B3DE69,85.16666667,1.566032931
EL,Personal Products,#B3DE69,79.33333333,0.912066628
COTY,Personal Products,#B3DE69,20.5,1.567152137
Information Technology,SP500,#FFFFB3,5931,20.63976744
Technology Hardware; Storage & Peripherals,Information Technology,#FFFFB3,245.5,1.732050808
HPQ,Technology Hardware; Storage & Peripherals,#FFFFB3,14.66666667,0.582370634
AAPL,Technology Hardware; Storage & Peripherals,#FFFFB3,109.1666667,1.323381272
